maltCoAId:ID(MaltCoA),name :LABEL,tracability,sown,harvest_date,kiln_date,best_before,moisture,extract_fine_dry,extract_coarse_dry,sacharification_time_mins,odour,colour_ebc,total_nitrogen_kjeldahl,soluble_nitrogen_kjeldahl,kolbach_idx,ph,diastaic_power,fan,friability,glassy_corns,pug,total_protein_drybasis,aal_congress,homogeneity,screenings_gt25,screenings_lt22,foriegn_seeds_weeds,viscosity_congress,wort_beta_glucan_congress,dms_precursor,notes
1,COMPASS MAA23-70724341,MAA23-70724341,22 May 2023,11 Dec 2023,11 Jul 2024,11 Jul 2025,3.81,81.46,78.36,10,,4.7,1.35,1.65,35,5.94,76,120,90.65,0.1,0.41,11.6,81.9,95,98,1.1,1.5,1.7,200,5,"Featuring consistent, plump grain size, and higher protein this parcel of new world Maximus barley grown in Oaklands NSW benefited from late rainfall during filling"
2,ALE 943,ALE 943 BB 07 JUN 2026,,,,,3.48,82.38,82.07,10,normal,5.44,1.57,0.64,40.76,5.88,,174.12,96.66,0.1,0.33,12.1,78.2,93,98,1.1,,,,,
