freight,notes
CHEP Pallets,"Blue wooden pallets from Commonwealth Handling Equipment Pool"
Konvoy,"Stainless 50L DIN Kegs (Tracked)"
Kegstar,"Stainless 50L DIN Kegs (Tracked)"
